store,order_id,city,state,shipping_charged,order_total,Clean_State
victus,10768,,,15,144.98,Santa Cruz
victus,10770,,BO-H,15,211.99,Chuquisaca
victus,10771,,BO-H,15,379.97,Chuquisaca
victus,11090,,,15,194.98,Santa Cruz
victus,11588,,BO-H,15,74.99,Chuquisaca
victus,11589,,BO-H,15,214.97,Chuquisaca
victus,11592,,BO-H,15,154.98,Chuquisaca
victus,11594,,BO-H,15,74.99,Chuquisaca
victus,11596,,BO-S,20,351.99,Santa Cruz
victus,11598,,BO-C,20,219.98,Cochabamba
victus,11599,,BO-S,15,84.99,Santa Cruz
victus,11601,,BO-P,25,94.99,Potosí
victus,11607,,BO-S,0,115.0,Santa Cruz
victus,11616,,BO-S,0,69.99,Santa Cruz
victus,11619,,BO-S,15,189.99,Santa Cruz
victus,11626,,BO-S,15,84.99,Santa Cruz
victus,11633,,BO-C,15,294.97,Cochabamba
victus,11639,,,15,74.99,Santa Cruz
victus,11651,,BO-L,15,710.99,La Paz
victus,11659,,BO-S,15,224.98,Santa Cruz
victus,11660,,BO-H,15,74.99,Chuquisaca
victus,11665,,BO-H,15,84.99,Chuquisaca
victus,11666,,BO-B,15,334.95,Beni
victus,11669,,BO-B,15,154.98,Beni
victus,11671,,BO-L,15,334.95,La Paz
victus,11674,,,15,84.99,Santa Cruz
victus,11679,,Villamontes,35,154.98,Santa Cruz
victus,11680,,BO-C,15,84.99,Cochabamba
victus,11681,,BO-P,25,324.98,Potosí
victus,11683,,BO-S,15,281.99,Santa Cruz
victus,11689,,,15,234.98,Santa Cruz
victus,11690,,,15,84.99,Santa Cruz
victus,11691,,BO-L,15,74.99,La Paz
victus,11692,,BO-L,15,194.99,La Paz
victus,11695,,BO-L,15,74.99,La Paz
victus,11696,Villamontes,BO-T,35,164.98,Tarija
victus,11698,,BO-C,15,245.0,Cochabamba
victus,12016,,,15,74.99,Santa Cruz
victus,12017,,,0,59.99,Santa Cruz
victus,12020,,BO-L,15,259.99,La Paz
victus,12024,,BO-L,15,200.0,La Paz
victus,12026,,BO-L,15,134.98,La Paz
victus,12317,,,15,84.99,Santa Cruz
victus,12320,,BO-P,0,209.97,Potosí
victus,12414,,BO-C,15,144.99,Cochabamba
victus,12416,,BO-T,15,314.98,Tarija
victus,12425,,BO-L,20,419.98,La Paz
victus,12432,,BO-H,15,624.94,Chuquisaca
